job_id;job_title;job_industry_category
931;Design Engineer;Property
932;Human Resources Assistant III;Retail
933;Accountant II;Manufacturing
934;Engineer IV;Argiculture
935;Web Developer I;Retail
936;Accountant I;IT
937;Account Representative III;Property
938;Staff Scientist;Health
939;Engineer II;Property
940;Accountant IV;n/a
941;Office Assistant IV;Manufacturing
942;Nurse;Telecommunications
943;VP Quality Control;Health
944;Legal Assistant;Retail
945;Mechanical Systems Engineer;n/a
946;Biostatistician I;IT
947;Staff Accountant IV;Retail
948;Safety Technician II;Retail
949;Accounting Assistant III;Entertainment
950;Web Designer III;n/a
951;Office Assistant I;IT
952;VP Quality Control;Telecommunications
953;Mechanical Systems Engineer;IT
954;Media Manager IV;Argiculture
955;Payment Adjustment Coordinator;IT
956;Nurse Practicioner;Entertainment
957;Payment Adjustment Coordinator;Financial Services
958;Media Manager III;Manufacturing
959;Office Assistant IV;Financial Services
960;Research Assistant IV;Manufacturing
961;Senior Editor;IT
962;Database Administrator III;IT
963;Chief Design Engineer;Health
964;Media Manager I;Health
965;Graphic Designer;IT
966;Human Resources Assistant I;Financial Services
967;Engineer IV;IT
968;Research Associate;Telecommunications
969;Product Engineer;Entertainment
970;General Manager;Entertainment
971;Engineer III;IT
972;Staff Accountant II;Manufacturing
973;Web Designer I;Retail
974;Automation Specialist IV;n/a
975;Structural Engineer;Telecommunications
976;Analyst Programmer;Health
977;Account Representative I;Health
978;Software Test Engineer II;Property
979;Programmer Analyst III;Health
980;Computer Systems Analyst II;Entertainment
981;Director of Sales;Argiculture
982;Staff Accountant I;Manufacturing
983;General Manager;Property
984;Systems Administrator III;Argiculture
985;VP Marketing;Retail
986;Programmer II;n/a
987;Product Engineer;IT
988;GIS Technical Architect;Property
989;Office Assistant IV;n/a
990;Systems Administrator IV;Health
991;Research Associate;Retail
992;Database Administrator I;Financial Services
993;Staff Accountant III;Financial Services
994;Systems Administrator IV;Manufacturing
995;Account Representative II;Financial Services
996;Help Desk Operator;Argiculture
997;Research Assistant I;Health
998;Programmer III;Financial Services
999;Administrative Assistant IV;Manufacturing
1000;Staff Scientist;Telecommunications
1001;General Manager;Telecommunications
1002;Environmental Tech;Retail
1003;GIS Technical Architect;IT
1004;Structural Analysis Engineer;Retail
1005;Administrative Assistant I;IT
1006;Staff Accountant IV;Property
1007;Media Manager II;Property
1008;Junior Executive;IT
1009;Budget/Accounting Analyst II;Health
1010;Environmental Specialist;Retail
1011;Nurse;Health
1012;Statistician II;Health
1013;Accountant I;Retail
1014;Account Coordinator;Entertainment
1015;Computer Systems Analyst I;Argiculture
1016;Research Assistant II;n/a
1017;Technical Writer;Property
1018;Senior Quality Engineer;Entertainment
1019;Senior Developer;Argiculture
1020;Web Developer IV;Manufacturing
1021;Office Assistant II;Manufacturing
1022;Recruiting Manager;Telecommunications
1023;Programmer IV;Property
1024;Biostatistician II;Telecommunications
1025;Web Developer IV;n/a
1026;Legal Assistant;Argiculture
1027;Systems Administrator IV;n/a
1028;Environmental Tech;n/a
1029;Chief Design Engineer;Telecommunications
1030;VP Product Management;Retail
1031;Media Manager IV;IT
1032;Staff Accountant I;n/a
1033;Safety Technician III;Financial Services
1034;Geologist III;Manufacturing
1035;Accounting Assistant III;Property
1036;Geologist II;IT
1037;Human Resources Assistant III;Health
1038;Programmer Analyst I;IT
1039;Staff Accountant II;Retail
1040;Health Coach II;IT
1041;Research Assistant III;n/a
1042;Product Engineer;Argiculture
1043;Assistant Manager;Entertainment
1044;Environmental Specialist;Telecommunications
1045;Human Resources Assistant III;Financial Services
1046;Geologist II;Argiculture
1047;Project Manager;Argiculture
1048;Web Developer IV;Property
1049;Automation Specialist IV;Health
